"Time","Fridge freezer (Kitchen, 195l/152l)","Halogen lamp 1 (0,5kW)","Microwave oven (1,1kW)","Power supply for fuel boiler ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Washing machine ()"
"1998-01-31 18:40:00.0","0","0","0","17","317","52","15","39"
"1998-01-31 18:50:00.0","5","0","0","15","318","14","14","0"
"1998-01-31 19:00:00.0","0","0","0","11","299","31","16","0"
"1998-01-31 19:10:00.0","1","0","0","15","445","18","15","0"
"1998-01-31 19:20:00.0","21","0","0","7","615","13","10","0"
"1998-01-31 19:30:00.0","21","0","0","14","611","12","0","0"
"1998-01-31 19:40:00.0","17","0","0","8","605","13","0","0"
"1998-01-31 19:50:00.0","23","0","0","7","679","13","0","0"
"1998-01-31 20:00:00.0","17","0","0","11","608","30","0","0"
"1998-01-31 20:10:00.0","15","0","0","12","386","21","0","0"
"1998-01-31 20:20:00.0","3","0","0","7","378","10","0","0"
"1998-01-31 20:30:00.0","0","0","0","16","378","9","0","0"
"1998-01-31 20:40:00.0","4","0","0","13","353","10","0","0"
"1998-01-31 20:50:00.0","1","0","0","11","361","10","0","0"
"1998-01-31 21:00:00.0","0","0","0","7","366","20","0","0"
"1998-01-31 21:10:00.0","5","0","0","12","370","14","0","0"
"1998-01-31 21:20:00.0","1","0","0","11","373","0","0","0"
"1998-01-31 21:30:00.0","0","0","0","8","353","5","0","0"
"1998-01-31 21:40:00.0","4","0","0","16","419","19","12","0"
"1998-01-31 21:50:00.0","1","0","0","8","378","4","15","0"
"1998-01-31 22:00:00.0","0","0","0","15","354","0","16","0"
"1998-01-31 22:10:00.0","3","0","0","8","369","0","17","0"
"1998-01-31 22:20:00.0","2","0","0","7","55","1","15","0"
"1998-01-31 22:30:00.0","0","0","0","12","77","29","16","0"
"1998-01-31 22:40:00.0","18","0","0","12","82","19","16","0"
"1998-01-31 22:50:00.0","24","0","0","17","56","0","4","0"
"1998-01-31 23:00:00.0","17","0","0","7","39","0","0","0"
"1998-01-31 23:10:00.0","17","0","0","17","46","0","0","0"
"1998-01-31 23:20:00.0","23","0","0","7","44","0","0","0"
"1998-01-31 23:30:00.0","12","0","0","8","34","0","0","0"
"1998-01-31 23:40:00.0","0","0","0","17","32","0","0","0"
"1998-01-31 23:50:00.0","5","0","0","8","29","0","0","0"
"1998-02-01 00:00:00.0","0","0","0","17","33","0","0","0"
"1998-02-01 00:10:00.0","0","0","0","8","23","0","0","0"
"1998-02-01 00:20:00.0","5","0","0","17","38","0","0","0"
"1998-02-01 00:30:00.0","0","0","0","8","24","0","0","0"
"1998-02-01 00:40:00.0","0","0","0","16","31","0","0","0"
"1998-02-01 00:50:00.0","0","0","0","8","24","0","0","0"
"1998-02-01 01:00:00.0","5","0","0","17","37","0","0","0"
"1998-02-01 01:10:00.0","0","0","0","7","23","0","0","0"
"1998-02-01 01:20:00.0","0","0","0","12","27","0","0","0"
"1998-02-01 01:30:00.0","6","0","0","13","34","0","0","0"
"1998-02-01 01:40:00.0","0","0","0","8","24","0","0","0"
"1998-02-01 01:50:00.0","0","0","0","17","32","0","0","0"
"1998-02-01 02:00:00.0","3","0","0","8","28","0","0","0"
"1998-02-01 02:10:00.0","25","0","0","16","53","0","0","0"
"1998-02-01 02:20:00.0","17","0","0","8","39","0","0","0"
"1998-02-01 02:30:00.0","17","0","0","16","47","0","0","0"
"1998-02-01 02:40:00.0","22","0","0","8","42","0","0","0"
"1998-02-01 02:50:00.0","18","0","0","16","47","0","0","0"
"1998-02-01 03:00:00.0","2","0","0","9","27","0","0","0"
"1998-02-01 03:10:00.0","0","0","0","13","28","0","0","0"
"1998-02-01 03:20:00.0","6","0","0","12","33","0","0","0"
"1998-02-01 03:30:00.0","0","0","0","8","24","0","0","0"
"1998-02-01 03:40:00.0","0","0","0","17","32","0","0","0"
"1998-02-01 03:50:00.0","4","0","0","8","28","0","0","0"
"1998-02-01 04:00:00.0","1","0","0","17","34","0","0","0"
"1998-02-01 04:10:00.0","0","0","0","8","24","0","0","0"
"1998-02-01 04:20:00.0","0","0","0","17","33","0","0","0"
