"Time","Clothes drier (without condenser) ()","Dish washer (12 place setting)","Microwave oven ()","Site consumption ()","Total site light consumption ()","Washing machine ()","Water heater ()"
"1998-01-28 21:10:00.0","0","0","0","99","46","0","0"
"1998-01-28 21:20:00.0","0","0","0","103","51","0","0"
"1998-01-28 21:30:00.0","0","0","0","100","46","0","0"
"1998-01-28 21:40:00.0","0","0","0","65","21","0","0"
"1998-01-28 21:50:00.0","0","0","0","51","0","0","0"
"1998-01-28 22:00:00.0","0","0","0","35","0","0","0"
"1998-01-28 22:10:00.0","0","0","0","49","0","0","0"
"1998-01-28 22:20:00.0","0","0","0","53","0","0","0"
"1998-01-28 22:30:00.0","0","0","0","50","0","0","0"
"1998-01-28 22:40:00.0","0","0","0","39","0","0","0"
"1998-01-28 22:50:00.0","0","0","0","41","0","0","0"
"1998-01-28 23:00:00.0","0","0","0","25","0","0","0"
"1998-01-28 23:10:00.0","0","0","0","26","0","0","0"
"1998-01-28 23:20:00.0","0","0","0","39","0","0","0"
"1998-01-28 23:30:00.0","0","0","0","31","0","0","0"
"1998-01-28 23:40:00.0","0","0","0","24","0","0","0"
"1998-01-28 23:50:00.0","0","0","0","24","0","0","0"
"1998-01-29 00:00:00.0","0","0","0","97","0","0","73"
"1998-01-29 00:10:00.0","0","0","0","476","0","0","453"
"1998-01-29 00:20:00.0","0","0","0","478","0","0","455"
"1998-01-29 00:30:00.0","0","0","0","475","0","0","452"
"1998-01-29 00:40:00.0","0","0","0","478","0","0","453"
"1998-01-29 00:50:00.0","0","0","0","495","0","0","454"
"1998-01-29 01:00:00.0","0","0","0","489","0","0","443"
"1998-01-29 01:10:00.0","0","0","0","492","0","0","440"
"1998-01-29 01:20:00.0","0","0","0","491","0","0","447"
"1998-01-29 01:30:00.0","0","0","0","475","0","0","443"
"1998-01-29 01:40:00.0","0","0","0","467","0","0","443"
"1998-01-29 01:50:00.0","0","0","0","469","0","0","447"
"1998-01-29 02:00:00.0","0","0","0","473","0","0","448"
"1998-01-29 02:10:00.0","0","0","0","231","0","0","209"
"1998-01-29 02:20:00.0","0","0","0","264","0","0","240"
"1998-01-29 02:30:00.0","0","0","0","474","0","0","451"
"1998-01-29 02:40:00.0","0","0","0","69","0","0","45"
"1998-01-29 02:50:00.0","0","0","0","34","0","0","0"
"1998-01-29 03:00:00.0","0","0","0","38","0","0","0"
"1998-01-29 03:10:00.0","0","0","0","24","0","0","0"
"1998-01-29 03:20:00.0","0","0","0","33","0","0","0"
"1998-01-29 03:30:00.0","0","0","0","42","0","0","0"
"1998-01-29 03:40:00.0","0","0","0","42","0","0","0"
"1998-01-29 03:50:00.0","0","0","0","100","0","0","61"
"1998-01-29 04:00:00.0","0","0","0","40","0","0","0"
"1998-01-29 04:10:00.0","0","0","0","29","0","0","0"
"1998-01-29 04:20:00.0","0","0","0","24","0","0","0"
"1998-01-29 04:30:00.0","0","0","0","38","0","0","0"
"1998-01-29 04:40:00.0","0","0","0","109","0","0","74"
"1998-01-29 04:50:00.0","0","0","0","24","0","0","0"
"1998-01-29 05:00:00.0","0","0","0","25","0","0","0"
"1998-01-29 05:10:00.0","0","0","0","25","0","0","0"
"1998-01-29 05:20:00.0","0","0","0","23","0","0","0"
"1998-01-29 05:30:00.0","0","0","0","25","0","0","0"
"1998-01-29 05:40:00.0","0","0","0","68","0","0","43"
"1998-01-29 05:50:00.0","0","0","0","139","0","0","114"
"1998-01-29 06:00:00.0","0","0","0","39","0","0","0"
"1998-01-29 06:10:00.0","0","0","0","43","0","0","0"
"1998-01-29 06:20:00.0","0","0","0","47","0","0","0"
"1998-01-29 06:30:00.0","0","0","0","94","3","0","0"
"1998-01-29 06:40:00.0","0","0","0","214","30","0","0"
"1998-01-29 06:50:00.0","0","0","0","171","39","0","0"
"1998-01-29 07:00:00.0","0","0","22","218","68","0","0"
"1998-01-29 07:10:00.0","0","0","0","104","57","0","0"
"1998-01-29 07:20:00.0","0","0","0","79","49","0","0"
"1998-01-29 07:30:00.0","0","0","0","277","67","179","0"
"1998-01-29 07:40:00.0","0","0","0","99","67","9","0"
"1998-01-29 07:50:00.0","0","0","0","101","71","7","0"
"1998-01-29 08:00:00.0","0","0","0","119","68","21","0"
"1998-01-29 08:10:00.0","0","0","0","118","19","64","0"
"1998-01-29 08:20:00.0","0","0","0","30","0","5","0"
"1998-01-29 08:30:00.0","0","0","0","28","0","0","0"
"1998-01-29 08:40:00.0","0","0","0","42","0","0","0"
"1998-01-29 08:50:00.0","0","0","0","42","0","0","0"
"1998-01-29 09:00:00.0","0","0","0","74","34","0","0"
"1998-01-29 09:10:00.0","0","0","0","73","33","0","0"
"1998-01-29 09:20:00.0","0","0","0","421","30","358","0"
"1998-01-29 09:30:00.0","0","0","0","206","20","100","0"
"1998-01-29 09:40:00.0","102","0","0","263","4","41","0"
"1998-01-29 09:50:00.0","214","0","0","431","13","12","0"
"1998-01-29 10:00:00.0","216","0","0","267","8","21","0"
