"Time","Electric Cooker (hot plate+oven) (1,5kW)","Fridge freezer (Kitchen, 325l/75l)","Non halogen lamp 1 ()","Non halogen lamp 2 ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Vertical freezer (Storeroom, 145l)","Washing machine ()"
"1998-01-31 07:10:00.0","0","20","0","0","43","18","0","0","0"
"1998-01-31 07:20:00.0","0","19","0","0","83","37","0","0","0"
"1998-01-31 07:30:00.0","0","19","0","0","64","41","0","0","0"
"1998-01-31 07:40:00.0","0","19","0","0","75","37","0","18","0"
"1998-01-31 07:50:00.0","0","19","0","0","129","53","0","18","0"
"1998-01-31 08:00:00.0","0","18","0","0","86","49","0","17","0"
"1998-01-31 08:10:00.0","0","18","0","0","91","54","0","18","0"
"1998-01-31 08:20:00.0","0","19","0","0","42","5","0","17","0"
"1998-01-31 08:30:00.0","0","10","0","0","53","10","12","16","0"
"1998-01-31 08:40:00.0","0","4","0","0","30","10","0","12","0"
"1998-01-31 08:50:00.0","0","3","0","0","20","10","0","0","0"
"1998-01-31 09:00:00.0","0","3","0","0","20","10","0","0","0"
"1998-01-31 09:10:00.0","0","4","0","0","20","10","0","0","0"
"1998-01-31 09:20:00.0","0","3","0","0","22","10","0","2","0"
"1998-01-31 09:30:00.0","0","20","0","0","50","9","0","18","0"
"1998-01-31 09:40:00.0","0","21","0","0","50","10","0","18","0"
"1998-01-31 09:50:00.0","0","20","0","0","50","11","0","17","0"
"1998-01-31 10:00:00.0","0","20","0","0","47","5","0","17","0"
"1998-01-31 10:10:00.0","0","19","0","0","51","10","0","17","0"
"1998-01-31 10:20:00.0","0","19","0","0","64","24","0","16","0"
"1998-01-31 10:30:00.0","0","19","0","0","94","41","0","17","17"
"1998-01-31 10:40:00.0","0","18","0","0","85","40","0","1","22"
"1998-01-31 10:50:00.0","0","19","0","0","85","43","0","0","20"
"1998-01-31 11:00:00.0","0","18","0","0","84","41","0","0","19"
"1998-01-31 11:10:00.0","0","18","0","0","68","41","0","0","0"
"1998-01-31 11:20:00.0","0","18","0","0","82","36","11","12","0"
"1998-01-31 11:30:00.0","0","4","0","0","71","4","15","18","0"
"1998-01-31 11:40:00.0","0","3","0","0","67","0","15","18","0"
"1998-01-31 11:50:00.0","0","3","0","0","53","13","16","17","0"
"1998-01-31 12:00:00.0","0","16","0","0","85","33","15","17","0"
"1998-01-31 12:10:00.0","0","21","0","0","336","12","15","16","255"
"1998-01-31 12:20:00.0","0","20","0","0","382","1","13","16","312"
"1998-01-31 12:30:00.0","0","20","0","0","126","0","0","5","70"
"1998-01-31 12:40:00.0","0","19","0","0","57","5","0","0","16"
"1998-01-31 12:50:00.0","0","19","0","0","61","10","0","0","12"
"1998-01-31 13:00:00.0","0","19","0","0","193","20","0","0","18"
"1998-01-31 13:10:00.0","0","18","0","0","412","13","0","9","5"
"1998-01-31 13:20:00.0","0","18","0","0","414","13","0","18","0"
"1998-01-31 13:30:00.0","0","19","0","0","597","6","0","17","193"
"1998-01-31 13:40:00.0","0","18","0","0","705","2","0","17","304"
"1998-01-31 13:50:00.0","0","18","0","0","524","0","0","16","124"
