"Time","Chest freezer (Storeroom, 191l)","Fridge freezer (172l/94l)","Halogen lamp 1 (0,5kW)","Microwave oven (0,7kW)","Site consumption ()","Total site light consumption ()","TV (36cm)","Washing machine ()"
"1998-01-25 10:40:00.0","14","3","0","0","65","0","0","34"
"1998-01-25 10:50:00.0","14","21","0","0","80","1","0","34"
"1998-01-25 11:00:00.0","14","20","0","0","112","4","0","64"
"1998-01-25 11:10:00.0","14","5","0","0","40","6","0","0"
"1998-01-25 11:20:00.0","14","12","0","0","38","0","0","0"
"1998-01-25 11:30:00.0","14","20","0","0","47","1","0","0"
"1998-01-25 11:40:00.0","14","14","0","0","44","2","0","0"
"1998-01-25 11:50:00.0","14","3","0","0","33","1","0","0"
"1998-01-25 12:00:00.0","7","20","0","0","45","3","0","0"
"1998-01-25 12:10:00.0","0","20","0","0","37","1","0","0"
"1998-01-25 12:20:00.0","0","6","0","0","30","0","6","0"
"1998-01-25 12:30:00.0","3","13","0","0","41","0","8","0"
"1998-01-25 12:40:00.0","16","20","0","0","59","0","9","0"
"1998-01-25 12:50:00.0","15","9","0","0","47","0","8","0"
"1998-01-25 13:00:00.0","15","12","0","0","51","0","8","0"
"1998-01-25 13:10:00.0","15","20","0","0","59","0","9","0"
"1998-01-25 13:20:00.0","14","10","0","0","49","0","8","0"
"1998-01-25 13:30:00.0","15","10","0","12","62","1","8","0"
"1998-01-25 13:40:00.0","14","21","0","0","59","1","9","0"
"1998-01-25 13:50:00.0","15","12","0","0","51","0","8","0"
"1998-01-25 14:00:00.0","14","6","0","0","44","0","8","0"
"1998-01-25 14:10:00.0","15","21","0","0","132","0","8","0"
"1998-01-25 14:20:00.0","1","16","0","0","124","0","8","0"
"1998-01-25 14:30:00.0","0","4","0","0","107","0","8","0"
"1998-01-25 14:40:00.0","0","20","0","0","123","0","8","0"
"1998-01-25 14:50:00.0","7","19","0","0","93","0","8","0"
"1998-01-25 15:00:00.0","16","3","0","0","46","0","8","0"
"1998-01-25 15:10:00.0","15","17","0","0","55","0","8","0"
"1998-01-25 15:20:00.0","15","21","0","0","58","0","8","0"
"1998-01-25 15:30:00.0","15","4","0","0","44","1","8","0"
"1998-01-25 15:40:00.0","14","15","0","0","54","2","8","0"
"1998-01-25 15:50:00.0","15","20","0","0","57","0","8","0"
"1998-01-25 16:00:00.0","14","8","0","0","46","0","8","0"
"1998-01-25 16:10:00.0","15","11","0","0","50","0","8","0"
"1998-01-25 16:20:00.0","7","21","0","0","52","0","7","0"
"1998-01-25 16:30:00.0","0","11","0","0","37","0","8","0"
"1998-01-25 16:40:00.0","0","7","0","0","33","0","9","0"
"1998-01-25 16:50:00.0","3","21","0","0","49","0","8","0"
"1998-01-25 17:00:00.0","16","16","0","0","55","0","9","0"
"1998-01-25 17:10:00.0","15","3","0","0","47","4","8","0"
"1998-01-25 17:20:00.0","15","20","23","0","93","11","8","0"
"1998-01-25 17:30:00.0","15","20","42","0","105","2","8","0"
"1998-01-25 17:40:00.0","14","4","41","0","89","12","1","0"
"1998-01-25 17:50:00.0","15","14","42","0","109","19","0","0"
